"","variety","country","points","price","province","region_1","title","winery","word","n","year"
"1","Pinot Noir","US",87,65,"Oregon","Willamette Valley","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Sweet Cheeks","tannic",584,"2012"
"2","Pinot Noir","US",87,65,"Oregon","Willamette Valley","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Sweet Cheeks","earthy",1038,"2012"
"3","Pinot Noir","US",87,65,"Oregon","Willamette Valley","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Sweet Cheeks","herbal",596,"2012"
"4","Pinot Noir","US",87,20,"Oregon","Oregon","Acrobat 2013 Pinot Noir (Oregon)","Acrobat","tart",1295,"2013"
"5","Pinot Noir","US",87,20,"Oregon","Oregon","Acrobat 2013 Pinot Noir (Oregon)","Acrobat","berry",1068,"2013"
"6","Pinot Noir","US",87,20,"Oregon","Oregon","Acrobat 2013 Pinot Noir (Oregon)","Acrobat","chocolate",674,"2013"
"7","Pinot Noir","US",87,20,"Oregon","Oregon","Acrobat 2013 Pinot Noir (Oregon)","Acrobat","pinot",3672,"2013"
"8","Pinot Noir","US",87,69,"California","Sonoma Coast","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Castello di Amorosa","earth",724,"2011"
"9","Pinot Noir","US",87,69,"California","Sonoma Coast","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Castello di Amorosa","bodied",1376,"2011"
"10","Pinot Noir","US",87,69,"California","Sonoma Coast","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Castello di Amorosa","raspberry",2429,"2011"
"11","Pinot Noir","US",87,69,"California","Sonoma Coast","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Castello di Amorosa","smoky",691,"2011"
"12","Pinot Noir","US",87,69,"California","Sonoma Coast","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Castello di Amorosa","spice",1571,"2011"
"13","Pinot Noir","US",86,50,"Oregon","McMinnville","Erath 2010 Hyland Pinot Noir (McMinnville)","Erath","fruit",4870,"2010"
"14","Pinot Noir","US",86,50,"Oregon","McMinnville","Erath 2010 Hyland Pinot Noir (McMinnville)","Erath","sweet",936,"2010"
"15","Pinot Noir","US",86,22,"Oregon","Willamette Valley","Hawkins Cellars 2009 Pinot Noir (Willamette Valley)","Hawkins Cellars","tannins",2860,"2009"
"16","Pinot Noir","Chile",85,13,"Maipo Valley","","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Tres Palacios","strawberry",1304,"2011"
"17","Pinot Noir","Chile",85,13,"Maipo Valley","","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Tres Palacios","fresh",1149,"2011"
"18","Pinot Noir","Chile",85,13,"Maipo Valley","","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Tres Palacios","light",1870,"2011"
"19","Pinot Noir","Chile",85,13,"Maipo Valley","","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Tres Palacios","juicy",766,"2011"
"20","Pinot Noir","US",86,25,"Oregon","Eola-Amity Hills","Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)","Z'IVO","fruity",635,"2015"
"21","Pinot Noir","US",91,64,"California","Santa Lucia Highlands","Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands)","Testarossa","cranberry",1334,"2013"
"22","Pinot Noir","US",91,64,"California","Santa Lucia Highlands","Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands)","Testarossa","dark",1199,"2013"
"23","Pinot Noir","US",91,55,"California","Carmel Valley","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)","Albatross Ridge","black",2473,"2012"
"24","Pinot Noir","US",91,55,"California","Carmel Valley","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)","Albatross Ridge","cola",1854,"2012"
"25","Pinot Noir","US",91,55,"California","Carmel Valley","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)","Albatross Ridge","soft",1260,"2012"
