fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,ID
4.701545935,6.966827148,3.608962897,5.043402567,5.22380518,5.872365319,5.624167962,5.028251929,4.280291858,5.128910072,4.415405775,5,1
4.701545935,6.296659616,3.814300508,4.830625753,5.096322731,4.916356721,5.228975022,5.134221517,4.668926963,4.951926209,4.415405775,5,2
6.654338532,3.615989488,6.483689439,4.546923335,4.735122456,5.107558441,5.411371763,5.664069453,4.021201788,4.538963863,4.415405775,5,3
4.47180563,5.96157585,3.608962897,4.546923335,4.756369531,4.533953282,4.620985883,5.558099865,6.288239901,4.420974621,4.040054205,6,4
4.47180563,5.738186672,3.608962897,4.47599773,4.735122456,4.725155002,4.803382624,5.558099865,6.288239901,4.420974621,4.040054205,5,5
4.758981012,5.403102906,3.916969313,4.334146521,4.607640007,4.916356721,5.380972306,4.816312755,4.928017033,3.831028412,4.040054205,5,6
4.414370553,5.682339378,3.608962897,4.050444103,4.522651707,4.916356721,4.225792942,3.86258647,5.510969691,3.890023033,4.60308156,5,7
4.701545935,5.291408318,3.711631702,4.617848939,4.692628306,4.342751562,4.134594572,5.028251929,5.316652138,4.479969242,4.133892097,7,8
4.529240706,4.844629963,5.457001388,7.525798726,4.650134156,5.107558441,6.688148955,5.558099865,5.251879621,5.836845523,5.072271022,7,9
4.069760095,5.291408318,4.019638118,4.47599773,5.202558106,4.916356721,5.563369048,4.551388787,4.798471998,4.30298538,3.85237842,5,10
4.529240706,4.844629963,5.457001388,7.525798726,4.650134156,5.107558441,6.688148955,5.558099865,5.251879621,5.836845523,5.072271022,5,11
3.437974255,5.486873848,3.608962897,4.334146521,5.032581506,5.011957581,5.380972306,3.703632089,6.741647523,4.184996138,4.509243667,5,12
4.701545935,5.458950201,5.097660571,4.334146521,5.56375838,4.342751562,4.468988598,5.346160691,4.668926963,10,3.758540527,5,13
5.333331775,5.514797495,4.532982143,5.894509821,6.881077028,8.453588534,7.995325603,5.981978214,4.021201788,6.30880249,3.85237842,5,14
5.333331775,5.514797495,4.584316545,5.965435426,6.753594578,8.357987674,8.086523974,5.981978214,4.085974306,6.603775595,3.85237842,5,15
5.10359147,3.615989488,6.483689439,4.47599773,5.096322731,6.828373917,6.718548412,5.081236723,4.928017033,5.541872418,5.072271022,5,16
4.873851164,5.179713729,5.046326168,4.405072126,10,5.011957581,5.289773935,5.028251929,3.697339201,8.668587326,3.946216312,7,17
4.47180563,5.347255612,4.019638118,6.320063449,4.968840281,4.055948983,4.468988598,5.346160691,5.446197173,4.067006896,3.664702635,5,18
4.758981012,3.839378665,6.227017426,4.47599773,10,5.107558441,5.289773935,5.081236723,3.243931578,7.488694908,3.85237842,4,19
5.333331775,3.280905722,6.073014219,4.47599773,4.777616606,6.254768758,5.411371763,5.028251929,5.510969691,4.243990759,4.040054205,6,20
4.586675782,4.230309726,5.200329376,4.830625753,4.883851981,5.6811636,5.745765789,5.77003904,6.353012418,4.951926209,4.321567882,6,21
4.758981012,4.453698903,4.68698535,4.334146521,5.39378178,4.438352422,4.712184254,4.922282342,4.085974306,6.485786353,4.133892097,5,22
5.10359147,4.788782669,4.173641325,4.830625753,4.926346131,4.342751562,5.624167962,5.028251929,4.085974306,4.243990759,4.040054205,5,23
4.184630248,4.28615702,4.327644533,4.901551358,4.947593206,5.48996188,4.803382624,5.028251929,5.770059761,4.833936968,4.321567882,5,24
3.84001979,4.230309726,4.430313338,4.192295312,4.841357831,4.533953282,4.286591856,4.339449613,5.187107103,4.420974621,3.946216312,6,25
4.586675782,4.342004314,4.840988558,4.47599773,4.841357831,3.864747263,3.921798373,4.710343168,4.798471998,4.597958484,4.133892097,5,26
